Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call	note number
1	Spectrogram 1	1	25.994412311	28.816442957	525.700	3079.300	double	8
2	Spectrogram 1	1	32.535392594	32.731518276	781.100	3544.900	double	2
3	Spectrogram 1	1	33.853793012	34.028126952	540.800	3514.900	double	2
4	Spectrogram 1	1	37.146557319	37.331787129	225.300	3229.500	double	2
5	Spectrogram 1	1	38.699218968	40.530971686	270.400	3319.600	double	6
7	Spectrogram 1	1	42.883796354	44.692510977	615.900	3575.000	double	6
8	Spectrogram 1	1	45.766377469	46.779693493	736.000	3349.700	double	4
9	Spectrogram 1	1	49.411327366	56.243038622	691.000	3860.400	double	20
10	Spectrogram 1	1	57.709266970	57.905392652	435.600	3635.100	double	2
11	Spectrogram 1	1	59.240136877	59.441710494	675.900	3499.900	double	2
12	Spectrogram 1	1	60.658811333	60.844041144	540.800	3484.900	double	2
13	Spectrogram 1	1	65.899041876	67.517078752	826.200	3424.800	double	6
14	Spectrogram 1	1	68.872931204	69.096296564	420.600	3124.300	double	2
15	Spectrogram 1	1	72.126595117	72.317272863	405.600	3079.300	double	2
16	Spectrogram 1	1	73.417755856	73.602985667	375.500	3109.300	double	2
17	Spectrogram 1	1	74.774291824	74.981313377	300.400	3079.300	double	2
18	Spectrogram 1	1	76.482671891	76.689693444	240.300	2944.100	double	2
19	Spectrogram 1	1	78.908249412	79.104375094	420.600	3950.500	double	2
20	Spectrogram 1	1	82.398104424	82.512511072	330.500	3965.500	squeak	1
21	Spectrogram 1	1	83.258878250	83.329701413	420.600	4055.600	squeak	1
22	Spectrogram 1	1	83.836982601	85.820031164	525.700	4010.600	wurp	15
23	Spectrogram 1	1	90.268039328	92.120337436	615.900	3845.400	wurp	15
24	Spectrogram 1	1	98.079976808	99.943170787	871.200	3514.900	wurp	15
25	Spectrogram 1	1	103.517921054	105.125062059	706.000	3409.700	wurp	13
26	Spectrogram 1	1	105.904116852	106.018523500	540.800	3394.700	squeak	1
27	Spectrogram 1	1	107.020943652	107.102662686	585.800	3544.900	squeak	1
28	Spectrogram 1	1	108.904280835	108.991447805	931.300	3800.300	squeak	1
29	Spectrogram 1	1	110.375223450	112.200281880	645.900	3875.400	wurp	15
30	Spectrogram 1	1	114.055414361	114.191612752	766.100	3800.300	squeak	1
31	Spectrogram 1	1	116.208936949	117.881453182	991.400	3755.200	wurp	14
