Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call	note number
1	Spectrogram 1	1	54.353887048	55.391097891	573.6	4546.0	quank	2
2	Spectrogram 1	1	95.010607399	95.223606054	552.3	3993.6	quank	1
3	Spectrogram 1	1	120.925090552	121.809498011	701.0	3271.4	quank	2
4	Spectrogram 1	1	123.392806160	123.573391976	509.8	3207.7	quank	1
5	Spectrogram 1	1	128.717430705	132.092996348	531.1	3632.5	quank	5
6	Spectrogram 1	1	150.976934899	151.125107877	701.0	2782.8	quank	1
7	Spectrogram 1	1	208.727848067	209.737276476	637.3	4014.9	wurp	6
8	Spectrogram 1	1	245.191932602	246.192100200	786.0	3823.7	wurp	6
9	Spectrogram 1	1	298.861869197	299.005411769	807.2	3186.4	quank	1
10	Spectrogram 1	1	301.997422525	302.154856314	679.8	3505.1	quank	1
