Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call	note number
1	Spectrogram 1	1	40.261941501	40.478938674	829.6	3692.8	quank	1
2	Spectrogram 1	1	93.985212019	94.767411127	1204.2	3826.6	quank	2
3	Spectrogram 1	1	104.809726612	104.981305771	776.0	3826.6	quank	1
4	Spectrogram 1	1	117.089088770	117.260667930	776.0	3853.4	quank	1
5	Spectrogram 1	1	120.028168505	121.203990391	642.2	3880.2	quank	3
6	Spectrogram 1	1	125.822326204	125.953533797	749.3	3746.4	quank	1
7	Spectrogram 1	1	126.937590740	127.144495021	615.5	3773.1	quank	1
8	Spectrogram 1	1	131.531271410	131.692757677	562.0	4228.0	quank	1
9	Spectrogram 1	1	132.964462035	133.504431743	454.9	4763.2	quank	2
10	Spectrogram 1	1	142.486993431	142.547550781	936.6	5004.1	squeak	1
11	Spectrogram 1	1	143.198542298	143.339842782	401.4	4281.6	quank	1
12	Spectrogram 1	1	145.919731120	146.050938712	588.7	3826.6	quank	1
13	Spectrogram 1	1	149.892438517	150.048878338	1177.4	3853.4	quank	1
14	Spectrogram 1	1	158.876788015	159.931495200	1016.9	4602.7	quank	3
15	Spectrogram 1	1	165.021832029	166.000842527	669.0	3612.6	quank	2
16	Spectrogram 1	1	171.030882601	171.212554652	963.3	3666.1	quank	1
17	Spectrogram 1	1	222.058252337	222.229831496	936.6	3799.9	quank	1
18	Spectrogram 1	1	223.843483613	223.984784098	1016.9	3746.4	quank	1
19	Spectrogram 1	1	239.587649616	240.788703732	347.9	3612.6	double	6
20	Spectrogram 1	1	242.788250796	243.010294414	722.5	3612.6	double	2
21	Spectrogram 1	1	253.083782313	253.280593702	642.2	3050.6	double	2
22	Spectrogram 1	1	267.870911247	268.027351069	722.5	3023.8	quank	1
23	Spectrogram 1	1	268.325091374	268.506763426	642.2	3184.4	double	2
24	Spectrogram 1	1	270.988087412	271.179852355	669.0	3345.0	double	2
25	Spectrogram 1	1	271.598707362	271.659264712	508.4	3130.9	quank	1
26	Spectrogram 1	1	284.174971402	284.346550562	615.5	3478.8	quank	1
27	Spectrogram 1	1	327.646656847	327.828328898	829.6	3692.8	quank	1
28	Spectrogram 1	1	329.089940364	330.159786887	936.6	4094.2	quank	3
29	Spectrogram 1	1	333.208994691	333.304877162	481.7	3666.1	squeak	1
