Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call	note number
1	Spectrogram 1	1	28.952801187	30.531820752	651.6	3492.6	quank	4
2	Spectrogram 1	1	36.425214636	36.602917802	651.6	3440.4	quank	1
3	Spectrogram 1	1	42.539627130	42.925496863	755.9	3987.8	quank	2
4	Spectrogram 1	1	44.224950009	45.915668708	651.6	3909.6	quank	5
5	Spectrogram 1	1	47.126110978	47.633834310	677.7	3675.0	quank	2
6	Spectrogram 1	1	49.195505039	50.053557471	547.3	3675.0	quank	4
7	Spectrogram 1	1	50.962382237	51.119776471	625.5	3492.6	quank	1
8	Spectrogram 1	1	54.819543203	56.804741435	651.6	3831.4	quank	7
9	Spectrogram 1	1	61.181840938	62.156669737	860.1	3831.4	quank	3
10	Spectrogram 1	1	63.903238002	64.476965369	781.9	4013.8	quank	2
11	Spectrogram 1	1	66.585759518	66.722844818	599.5	4352.7	quank	1
12	Spectrogram 1	1	66.235430418	66.336975085	417.0	4196.3	squeak	1
13	Spectrogram 1	1	68.058157184	68.347559483	469.1	4222.3	double	2
14	Spectrogram 1	1	68.987290883	69.266538716	495.2	4483.0	double	2
15	Spectrogram 1	1	69.444241882	69.576249949	703.7	4326.6	quank	1
16	Spectrogram 1	1	73.278077585	73.978735785	651.6	3570.7	quank	2
17	Spectrogram 1	1	78.166816275	79.370120575	886.2	3909.6	quank	3
18	Spectrogram 1	1	81.780270041	82.430155908	651.6	4378.7	squeak	2
19	Spectrogram 1	1	81.993513841	82.145830841	521.3	4222.3	quank	1
20	Spectrogram 1	1	84.136106306	84.268114373	808.0	3909.6	quank	1
21	Spectrogram 1	1	93.104767057	93.196157256	495.2	4743.6	squeak	1
22	Spectrogram 1	1	94.074518622	94.145599889	625.5	4456.9	squeak	1
23	Spectrogram 1	1	95.501221188	97.388734042	234.6	4847.9	squeak	3
24	Spectrogram 1	1	98.609330779	98.690566512	677.7	5030.3	squeak	1
25	Spectrogram 1	1	99.848175711	100.919471943	651.6	5369.1	squeak	2
26	Spectrogram 1	1	212.092408351	213.270326484	521.3	3779.3	quank	4
27	Spectrogram 1	1	215.175450527	215.403926027	417.0	3179.8	quank	1
28	Spectrogram 1	1	221.564033787	223.153207819	573.4	3284.0	quank	4
29	Spectrogram 1	1	228.189448462	232.322316393	312.8	3466.5	wurp	22
30	Spectrogram 1	1	233.958927842	236.512776207	573.4	3231.9	quank	6
31	Spectrogram 1	1	240.099944448	241.602805513	417.0	3153.7	wurp	9
32	Spectrogram 1	1	249.824213938	251.748485370	286.7	2997.3	wurp	11
33	Spectrogram 1	1	245.253280210	246.349962609	469.1	2997.3	wurp	7
34	Spectrogram 1	1	243.496557478	244.055053144	781.9	3258.0	wurp	3
35	Spectrogram 1	1	254.723107261	256.190427693	235.1	3788.2	wurp	9
36	Spectrogram 1	1	258.126015137	259.811656602	365.8	3631.5	wurp	10
37	Spectrogram 1	1	263.644012174	264.608686506	339.6	3579.2	wurp	6
38	Spectrogram 1	1	265.836159027	268.075218925	470.3	3605.3	wurp	13
39	Spectrogram 1	1	270.178935841	273.961474672	470.3	2926.1	wurp	18
40	Spectrogram 1	1	276.324130488	277.674674553	444.1	3082.8	wurp	10
41	Spectrogram 1	1	279.536482821	281.536912752	339.6	3135.1	wurp	12
42	Spectrogram 1	1	284.788983593	286.723409492	182.9	3030.6	wurp	11
43	Spectrogram 1	1	287.975949760	291.530013090	365.8	3108.9	wurp	21
44	Spectrogram 1	1	296.172028085	298.152149083	522.5	3030.6	wurp	12
45	Spectrogram 1	1	301.919980587	303.834097552	548.6	3291.8	wurp	11
46	Spectrogram 1	1	307.966909248	310.007957047	679.3	3135.1	wurp	12
47	Spectrogram 1	1	329.171327835	330.872201001	522.5	3187.3	wurp	10
