Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call	Note Number
1	Spectrogram 1	1	34.099438945	64.557156921	366.000	3227.700	Playback	
2	Spectrogram 1	1	123.973376881	126.159575343	366.000	12811.100	wurp	16
3	Spectrogram 1	1	134.093916541	136.262477878	299.500	11247.200	wurp	16
4	Spectrogram 1	1	144.522969736	145.831245981	299.500	10947.700	wurp	10
5	Spectrogram 1	1	154.065727144	155.825014410	299.500	10282.200	wurp	13
6	Spectrogram 1	1	161.185370267	162.662345290	432.600	10614.900	wurp	11
7	Spectrogram 1	1	167.989038568	169.589955552	232.900	11679.700	wurp	12
8	Spectrogram 1	1	175.592462928	177.083209280	332.800	11646.500	wurp	11
9	Spectrogram 1	1	286.725458702	288.557045444	465.900	3527.200	rapid	20
10	Spectrogram 1	1	293.589440035	293.992251405	599.000	4525.500	rapid	4
11	Spectrogram 1	1	295.886827793	296.506537593	765.300	3127.900	rapid	6
12	Spectrogram 1	1	299.407566117	300.137446548	366.000	3893.200	rapid	7
13	Spectrogram 1	1	301.460512628	301.969285895	432.600	4891.500	rapid	5
14	Spectrogram 1	1	303.989462350	304.295874417	465.900	4092.900	rapid	3
15	Spectrogram 1	1	313.195714721	313.292114023	532.400	3760.100	quank	1
16	Spectrogram 1	1	315.214359530	315.896040310	232.900	6488.700	rapid	7
