Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call	Note Number
1	Spectrogram 1	1	56.095489596	85.328820433	723.700	5934.300	Playback	
2	Spectrogram 1	1	85.470708141	88.427178044	542.800	4125.000	double	10
3	Spectrogram 1	1	89.722583842	92.053294273	542.800	3546.100	double	6
4	Spectrogram 1	1	93.926752788	96.305753428	687.500	3907.900	double	6
5	Spectrogram 1	1	97.599032586	98.705737539	723.700	3907.900	double	4
6	Spectrogram 1	1	102.558004910	131.940233758	579.000	3582.300	double	82
7	Spectrogram 1	1	134.791409881	134.954610611	470.400	3039.500	double	2
8	Spectrogram 1	1	136.633101500	141.321612580	759.900	3871.700	double	16
9	Spectrogram 1	1	142.448717625	148.165843212	470.400	3835.600	double	20
10	Spectrogram 1	1	149.377201702	152.692216538	651.300	4052.700	double	14
11	Spectrogram 1	1	153.857091730	161.991628137	796.100	4523.100	double	26
12	Spectrogram 1	1	163.915051619	209.820036893	579.000	4233.600	double	184
13	Spectrogram 1	1	210.826811543	218.905510919	506.600	3763.200	double	26
14	Spectrogram 1	1	220.614018566	235.255807548	723.700	4450.700	double	52
15	Spectrogram 1	1	236.291112182	237.601818048	832.200	4486.900	double	6
16	Spectrogram 1	1	238.699489615	240.418197307	796.100	4197.400	double	8
17	Spectrogram 1	1	243.638061848	245.224168947	977.000	4595.400	double	8
18	Spectrogram 1	1	246.477551150	250.078167265	615.100	4450.700	double	14
19	Spectrogram 1	1	251.862535311	252.857039762	687.500	4523.100	double	6
20	Spectrogram 1	1	253.895317778	260.933349277	687.500	4378.300	double	24
21	Spectrogram 1	1	264.908920311	266.790828733	615.100	3835.600	double	8
22	Spectrogram 1	1	269.504887452	272.427200531	651.300	3907.900	double	10
23	Spectrogram 1	1	275.397163954	276.228467675	759.900	4016.500	double	4
24	Spectrogram 1	1	279.307338201	280.138641921	868.400	3907.900	double	4
25	Spectrogram 1	1	328.436252936	328.604553689	904.600	3437.500	quank	1
27	Spectrogram 1	1	114.397576995	114.576151214	1211.009	4045.872	quank	1
28	Spectrogram 1	1	116.058600676	116.251347452	1155.963	3302.752	quank	1
29	Spectrogram 1	1	116.522212295	120.867518272	1100.917	3412.844	rapid	17
30	Spectrogram 1	1	122.723621518	122.899361225	1018.349	3220.183	quank	1
31	Spectrogram 1	1	124.634082202	124.804152886	1045.872	3330.275	quank	1
32	Spectrogram 1	1	125.512780736	125.682851420	1045.872	3302.752	quank	1
