Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call	Note Number
1	Spectrogram 1	1	23.779647503	54.037873913	613.800	4369.000	Playback	
2	Spectrogram 1	1	56.038939883	56.256203191	577.700	4513.400	double	2
3	Spectrogram 1	1	58.844585385	59.030811078	577.700	4802.300	quank	1
4	Spectrogram 1	1	62.654033642	62.833362086	686.000	6102.200	double	2
5	Spectrogram 1	1	63.911246997	64.111267186	830.500	5524.500	quank	1
6	Spectrogram 1	1	66.143527062	67.843698663	1083.200	7654.800	double	6
7	Spectrogram 1	1	70.378049927	70.553929748	722.200	6174.400	double	2
8	Spectrogram 1	1	72.515556250	73.169392298	541.600	5284.404	double	4
9	Spectrogram 1	1	77.018177918	77.211300858	613.800	7871.500	double	2
10	Spectrogram 1	1	79.157345137	80.992013070	469.400	7041.000	double	6
11	Spectrogram 1	1	83.168601151	90.490662816	613.800	7690.900	double	18
12	Spectrogram 1	1	91.965139480	95.846755651	686.000	8413.100	double	10
13	Spectrogram 1	1	97.576557000	97.748988197	505.500	8557.500	double	2
14	Spectrogram 1	1	99.541631968	99.731306284	433.300	7943.700	double	2
15	Spectrogram 1	1	103.179542891	103.372665832	469.400	6860.400	double	2
16	Spectrogram 1	1	106.367218461	106.543098281	469.400	9243.500	double	2
17	Spectrogram 1	1	116.235511643	116.418288712	433.300	8268.600	double	2
18	Spectrogram 1	1	119.577608099	119.770731039	433.300	8449.200	double	2
19	Spectrogram 1	1	128.352687494	128.552707683	325.000	8990.800	double	2
20	Spectrogram 1	1	129.671082217	129.874551029	361.100	8232.500	double	2
21	Spectrogram 1	1	131.825831342	132.012057034	469.400	7799.200	double	2
22	Spectrogram 1	1	133.876228203	134.069351143	469.400	8160.300	double	2
23	Spectrogram 1	1	135.491204583	136.629250482	686.000	7871.500	double	4
24	Spectrogram 1	1	139.990377627	140.169706071	433.300	8629.700	double	2
25	Spectrogram 1	1	142.202092622	142.402112810	325.000	8088.100	double	2
26	Spectrogram 1	1	144.300770218	145.162926202	361.100	7221.500	double	4
27	Spectrogram 1	1	146.253711744	146.433040189	288.900	7799.200	double	2
28	Spectrogram 1	1	147.500579228	155.501125945	794.400	10543.400	double	24
29	Spectrogram 1	1	156.633421649	157.685251949	758.300	9749.000	double	4
30	Spectrogram 1	1	158.812311300	158.984742497	577.700	10074.000	double	2
31	Spectrogram 1	1	160.697174212	162.990509129	469.400	9857.400	double	8
32	Spectrogram 1	1	164.655807162	164.888970871	830.500	11121.100	double	2
33	Spectrogram 1	1	177.126284357	177.309061426	541.600	8701.900	double	2
34	Spectrogram 1	1	180.644260633	182.100722679	577.700	8629.700	double	8
35	Spectrogram 1	1	188.146037611	189.053025706	397.200	8810.200	double	4
36	Spectrogram 1	1	190.404119098	192.315677137	649.900	7763.100	double	6
37	Spectrogram 1	1	194.157622181	196.971699312	649.900	7438.200	double	8
38	Spectrogram 1	1	198.661904744	198.848130436	433.300	7004.900	double	2
39	Spectrogram 1	1	200.259638005	201.383889408	758.300	7690.900	double	4
40	Spectrogram 1	1	202.763592171	202.949817863	469.400	7185.400	double	2
41	Spectrogram 1	1	206.028031172	209.705284614	577.700	6752.100	double	10
42	Spectrogram 1	1	210.855590628	212.000533774	325.000	6102.200	double	4
43	Spectrogram 1	1	213.193243654	215.461671013	541.600	6282.700	double	6
44	Spectrogram 1	1	218.036132196	224.275199272	902.700	7293.700	double	20
45	Spectrogram 1	1	227.601840118	227.794963058	505.500	6752.100	double	2
46	Spectrogram 1	1	229.059967367	232.060270191	577.700	7293.700	double	8
47	Spectrogram 1	1	233.778831910	233.975403474	288.900	7727.000	double	2
48	Spectrogram 1	1	236.026694040	237.854464726	649.900	8485.300	double	6
49	Spectrogram 1	1	239.311824785	239.494601854	505.500	7979.800	double	2
50	Spectrogram 1	1	240.839691703	241.019020148	541.600	7799.200	double	2
51	Spectrogram 1	1	243.798990902	243.988665218	325.000	7402.100	double	2
52	Spectrogram 1	1	246.796098291	246.975426735	325.000	7402.100	double	2
53	Spectrogram 1	1	248.856841023	249.046515340	325.000	7727.000	double	2
54	Spectrogram 1	1	250.703769072	250.883097516	325.000	7546.500	double	2
55	Spectrogram 1	1	256.232546291	257.325760079	361.100	7293.700	double	4
56	Spectrogram 1	1	258.514894661	258.608007507	577.700	6535.500	quank	1
57	Spectrogram 1	1	297.831471925	300.166190330	433.300	11626.600	wurp	17
58	Spectrogram 1	1	308.362921442	310.373469196	361.100	12168.300	wurp	15
59	Spectrogram 1	1	320.083379025	321.993916685	469.400	12890.400	wurp	14
60	Spectrogram 1	1	332.812749041	334.485331650	541.600	8485.300	wurp	12
62	Spectrogram 1	1	73.288227092	75.074582375	715.596	5422.018	rapid	19
63	Spectrogram 1	1	165.026972567	168.446347916	1183.486	11009.174	rapid	34
64	Spectrogram 1	1	168.547532605	176.267960804	1018.349	4926.606	double	26
66	Spectrogram 1	1	182.131389722	183.434739070	908.257	5201.835	rapid	13
67	Spectrogram 1	1	183.488406396	186.509110180	1128.440	4981.651	double	10
