Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call	Note Number
1	Spectrogram 1	1	25.139825680	55.184869699	931.700	5057.900	Playback	
2	Spectrogram 1	1	164.813138504	164.887576520	600.100	4767.800	squeak	1
3	Spectrogram 1	1	167.414880868	167.498623636	466.800	5134.500	squeak	1
4	Spectrogram 1	1	176.018960808	176.074789319	466.800	4567.700	squeak	1
5	Spectrogram 1	1	182.401677185	182.462158072	533.500	5701.300	squeak	1
6	Spectrogram 1	1	186.150908515	186.216041779	466.800	5734.600	squeak	1
7	Spectrogram 1	1	196.406290150	196.462118661	600.100	4501.000	squeak	1
8	Spectrogram 1	1	198.852856208	198.913337096	600.100	4567.700	squeak	1
9	Spectrogram 1	1	217.633759717	217.703545357	533.500	8802.000	squeak	1
10	Spectrogram 1	1	231.737428853	231.816519244	766.800	4067.600	squeak	1
11	Spectrogram 1	1	233.760920473	233.835358488	633.500	4601.100	squeak	1
12	Spectrogram 1	1	234.905404962	234.975190601	433.400	5067.800	squeak	1
13	Spectrogram 1	1	238.073621470	238.134102358	433.400	4734.400	squeak	1
14	Spectrogram 1	1	247.155248084	248.196556200	466.800	6334.800	squeak	2
15	Spectrogram 1	1	249.558320327	249.618801215	466.800	5934.700	squeak	1
16	Spectrogram 1	1	252.190981425	252.265419440	466.800	5968.000	squeak	1
17	Spectrogram 1	1	253.968189046	254.024017557	500.100	5934.700	squeak	1
18	Spectrogram 1	1	255.616143034	255.676623922	533.500	5067.800	squeak	1
19	Spectrogram 1	1	256.979289194	257.035117706	566.800	6101.400	squeak	1
20	Spectrogram 1	1	267.607925254	267.677710894	1033.600	7368.400	squeak	1
21	Spectrogram 1	1	269.226952092	269.301390108	433.400	7901.800	squeak	1
22	Spectrogram 1	1	270.614716255	270.689154270	533.500	8401.900	squeak	1
23	Spectrogram 1	1	273.655962336	273.721095600	333.400	7301.700	squeak	1
