Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call
1	Spectrogram 1	1	15.378192016	44.224149621	693.6	4346.8	Playback
2	Spectrogram 1	1	72.636170247	73.973417016	1156.1	2289.0	WBNU trill
3	Spectrogram 1	1	84.288599115	85.769442852	901.7	2358.4	WBNU trill
4	Spectrogram 1	1	93.889879568	95.128403421	1132.9	2312.1	WBNU trill
5	Spectrogram 1	1	111.641096251	111.793668030	1618.5	3329.5	WBNU quank
6	Spectrogram 1	1	112.960393399	113.103990367	1479.8	3329.5	WBNU quank
7	Spectrogram 1	1	114.609808533	117.400974607	1294.8	3283.2	WBNU quank
8	Spectrogram 1	1	119.016623692	121.825739388	1132.9	3098.3	WBNU quank
9	Spectrogram 1	1	125.729523417	128.628387218	1179.2	3144.5	WBNU quank
10	Spectrogram 1	1	134.612193949	135.796868939	1317.9	3491.3	WBNU quank
11	Spectrogram 1	1	138.944010760	139.949189539	1063.6	2890.2	WBNU quank
12	Spectrogram 1	1	143.812807941	145.239802815	1063.6	3306.4	WBNU trill
13	Spectrogram 1	1	152.773676982	154.245545909	1202.3	3398.8	WBNU trill
14	Spectrogram 1	1	160.622736189	162.363849432	1086.7	3491.3	WBNU trill
15	Spectrogram 1	1	167.988663890	169.774651185	1364.2	3422.0	WBNU trill
16	Spectrogram 1	1	176.059960018	177.594652618	1225.4	3422.0	WBNU trill
17	Spectrogram 1	1	187.137376082	188.797716030	1086.7	3398.8	WBNU trill
18	Spectrogram 1	1	230.078160861	231.433357251	1502.9	2751.4	WBNU trill
19	Spectrogram 1	1	239.114028400	240.765393537	1017.3	2659.0	WBNU trill
20	Spectrogram 1	1	249.096517579	250.676084232	1109.8	2659.0	WBNU trill
21	Spectrogram 1	1	256.092344855	257.627037456	1109.8	2635.8	WBNU trill
22	Spectrogram 1	1	265.874812971	267.427455193	1132.9	2659.0	WBNU trill
