Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call
1	Spectrogram 1	1	57.630708942	87.753549797	611.8	5835.3	Playback
2	Spectrogram 1	1	117.871345904	118.101755379	423.5	3858.8	WBNU
3	Spectrogram 1	1	119.711579669	120.546173986	423.5	4141.2	WBNU
4	Spectrogram 1	1	122.065648262	122.285817315	282.4	4094.1	WBNU
5	Spectrogram 1	1	124.228776572	124.464306257	376.5	3952.9	WBNU
6	Spectrogram 1	1	143.800129468	144.230227153	658.8	5082.4	WBNU-squeak
7	Spectrogram 1	1	151.027089291	151.231897712	517.6	8000.0	WBNU
8	Spectrogram 1	1	157.612208686	157.822137318	517.6	5976.5	WBNU
9	Spectrogram 1	1	170.483236999	170.565160368	376.5	5694.1	WBNU-squeak
10	Spectrogram 1	1	188.220061862	188.286624599	800.0	6682.4	WBNU-squeak
11	Spectrogram 1	1	284.029063238	285.554885978	517.6	4470.6	WBNU-trill
12	Spectrogram 1	1	304.481091843	305.796985951	800.0	9317.6	WBNU-trill
13	Spectrogram 1	1	332.210961764	333.552456924	564.7	8847.1	WBNU-trill
