Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	CALL
1	Spectrogram 1	1	18.241561496	47.727531000	361.1	4224.6	Playback
2	Spectrogram 1	1	49.364451119	50.274849705	794.4	3466.3	WBNU
3	Spectrogram 1	1	54.210963034	58.354284954	505.5	3177.5	WBNU
4	Spectrogram 1	1	64.220333807	64.349680054	613.8	3430.2	WBNU
5	Spectrogram 1	1	72.342768939	73.268092092	830.5	3683.0	WBNU
6	Spectrogram 1	1	74.730699656	74.879945326	722.2	3502.4	WBNU
7	Spectrogram 1	1	82.556764454	83.815402936	830.5	3791.3	WBNU
8	Spectrogram 1	1	92.831152317	94.244011324	613.8	3610.8	WBNU
9	Spectrogram 1	1	95.293705869	95.437976683	938.8	3430.2	WBNU
10	Spectrogram 1	1	98.939156565	99.919203130	866.6	3430.2	WBNU
11	Spectrogram 1	1	107.391706135	108.620495484	830.5	3971.8	WBNU
12	Spectrogram 1	1	110.152751027	110.321896120	1047.1	3502.4	WBNU
13	Spectrogram 1	1	112.920853161	115.652048919	397.2	3610.8	WBNU
14	Spectrogram 1	1	123.520380607	126.589866550	505.5	3321.9	WBNU
15	Spectrogram 1	1	127.645924257	130.118427520	613.8	3683.0	WBNU
17	Spectrogram 1	1	133.722652592	135.090737899	469.4	3538.5	WBNU
18	Spectrogram 1	1	136.635411199	136.754807735	613.8	3249.7	WBNU
19	Spectrogram 1	1	144.706323809	144.875468902	577.7	3719.1	WBNU
20	Spectrogram 1	1	191.462754778	192.084611736	541.6	3610.8	WBNU
21	Spectrogram 1	1	231.654227477	231.788548580	469.4	3574.7	WBNU
22	Spectrogram 1	1	287.607662841	288.811577911	649.9	3502.4	WBNU
23	Spectrogram 1	1	292.906192541	293.040513644	613.8	3033.0	WBNU
24	Spectrogram 1	1	294.721282012	295.840624536	469.4	2996.9	WBNU
25	Spectrogram 1	1	299.126844357	299.848198428	541.6	3069.1	WBNU
26	Spectrogram 1	1	302.682747505	302.817068608	541.6	3285.8	WBNU
27	Spectrogram 1	1	304.384148141	305.075653078	686.0	3538.5	WBNU
