Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	CALL
1	Spectrogram 1	1	19.166237989	49.106852173	786.1	10080.9	Playback
2	Spectrogram 1	1	61.093660262	61.994113003	554.9	4578.0	WBNU
3	Spectrogram 1	1	69.316808590	69.428729270	1063.6	4254.3	WBNU
4	Spectrogram 1	1	77.137587413	77.356341469	554.9	4115.6	WBNU
5	Spectrogram 1	1	79.147072344	79.340389882	508.7	3838.2	WBNU
6	Spectrogram 1	1	92.666663647	93.363624243	832.4	4254.3	WBNU
7	Spectrogram 1	1	95.927998775	96.513038691	832.4	4948.0	WBNU
8	Spectrogram 1	1	132.712280700	132.839463291	786.1	4069.4	WBNU
9	Spectrogram 1	1	182.453914627	182.601446432	601.2	3653.2	WBNU
