Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call	Note Number
1	Spectrogram 1	1	21.516247732	51.440012207	588.200	3882.400	Playback	
4	Spectrogram 1	1	276.063087300	276.488587122	565.700	3627.000	quank	2
5	Spectrogram 1	1	278.359904222	279.431899899	499.100	3560.500	quank	2
6	Spectrogram 1	1	280.560090201	280.695326578	532.400	3993.100	quank	1
7	Spectrogram 1	1	284.966444454	285.808524699	565.700	4159.500	quank	3
9	Spectrogram 1	1	294.216261959	294.605478850	266.200	3627.000	rapid	4
10	Spectrogram 1	1	299.114941762	299.880181753	798.600	3061.400	double	2
11	Spectrogram 1	1	306.905869201	306.991628855	432.600	2994.800	quank	1
12	Spectrogram 1	1	308.000220233	308.969964015	433.400	2567.300	double	2
