Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	CALL
1	Spectrogram 1	1	56.095489596	85.328820433	723.7	5934.3	Playback
2	Spectrogram 1	1	85.470708141	88.427178044	542.8	4125.0	WBNU
3	Spectrogram 1	1	89.722583842	92.053294273	542.8	3546.1	WBNU
4	Spectrogram 1	1	93.926752788	96.305753428	687.5	3907.9	WBNU
5	Spectrogram 1	1	97.599032586	98.705737539	723.7	3907.9	WBNU
6	Spectrogram 1	1	102.558004910	131.940233758	579.0	3582.3	WBNU
7	Spectrogram 1	1	134.791409881	134.954610611	470.4	3039.5	WBNU
8	Spectrogram 1	1	136.633101500	141.321612580	759.9	3871.7	WBNU
9	Spectrogram 1	1	142.448717625	148.165843212	470.4	3835.6	WBNU
10	Spectrogram 1	1	149.377201702	152.692216538	651.3	4052.7	WBNU
11	Spectrogram 1	1	153.857091730	161.991628137	796.1	4523.1	WBNU
12	Spectrogram 1	1	163.915051619	209.820036893	579.0	4233.6	WBNU
13	Spectrogram 1	1	210.826811543	218.905510919	506.6	3763.2	WBNU
14	Spectrogram 1	1	220.614018566	235.255807548	723.7	4450.7	WBNU
15	Spectrogram 1	1	236.291112182	237.601818048	832.2	4486.9	WBNU
16	Spectrogram 1	1	238.699489615	240.418197307	796.1	4197.4	WBNU
17	Spectrogram 1	1	243.638061848	245.224168947	977.0	4595.4	WBNU
18	Spectrogram 1	1	246.477551150	250.078167265	615.1	4450.7	WBNU
19	Spectrogram 1	1	251.862535311	252.857039762	687.5	4523.1	WBNU
20	Spectrogram 1	1	253.895317778	260.933349277	687.5	4378.3	WBNU
21	Spectrogram 1	1	264.908920311	266.790828733	615.1	3835.6	WBNU
22	Spectrogram 1	1	269.504887452	272.427200531	651.3	3907.9	WBNU
23	Spectrogram 1	1	275.397163954	276.228467675	759.9	4016.5	WBNU
24	Spectrogram 1	1	279.307338201	280.138641921	868.4	3907.9	WBNU
25	Spectrogram 1	1	328.436252936	328.604553689	904.6	3437.5	WBNU
