Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call	note number
1	Spectrogram 1	1	209.145533784	210.474353571	463.9	4611.9	wurp	7
2	Spectrogram 1	1	211.107818345	211.162427378	627.7	4803.0	squeak	1
3	Spectrogram 1	1	239.155394703	240.662603995	463.9	5294.2	wurp	8
4	Spectrogram 1	1	244.268144592	244.326394227	573.1	5457.9	squeak	1
5	Spectrogram 1	1	258.203009242	258.253977672	463.9	4693.8	squeak	1
6	Spectrogram 1	1	261.457164953	262.578470416	791.4	4775.7	wurp	6
7	Spectrogram 1	1	263.863870259	263.896635679	791.4	4693.8	squeak	1
8	Spectrogram 1	1	266.229451761	266.309545009	436.6	5894.6	squeak	1
9	Spectrogram 1	1	269.281487273	269.325174499	436.6	5730.8	squeak	1
10	Spectrogram 1	1	283.408493939	283.477665380	682.2	5430.6	squeak	1
11	Spectrogram 1	1	296.871157490	298.611365320	491.2	6713.2	wurp	9
12	Spectrogram 1	1	314.569862320	316.037024988	382.1	5321.5	wurp	8
13	Spectrogram 1	1	323.738777575	325.162253017	436.6	5921.8	wurp	8
