Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call	note number
1	Spectrogram 1	1	123.976540446	124.505618620	555.0	2876.1	quank	2
2	Spectrogram 1	1	221.681221255	221.833134790	580.3	3506.8	quank	1
3	Spectrogram 1	1	225.463614947	225.594574891	605.5	3481.6	quank	1
4	Spectrogram 1	1	240.367011219	240.440348787	504.6	3809.6	squeak	1
5	Spectrogram 1	1	242.303961785	242.518736093	933.5	3860.0	quank	1
6	Spectrogram 1	1	293.453610202	295.795174001	353.2	3860.0	quank	5
7	Spectrogram 1	1	301.805085156	302.837049515	479.3	3607.7	quank	3
8	Spectrogram 1	1	303.712132450	305.676531610	832.6	3103.1	quank	13
10	Spectrogram 1	1	308.417083013	310.124800683	605.5	2977.0	quank	3
11	Spectrogram 1	1	311.313916975	311.507737692	832.6	3178.8	quank	1
12	Spectrogram 1	1	314.355840941	314.539184862	555.0	2876.1	quank	1
