Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call	note number
1	Spectrogram 1	1	27.612867850	27.862014457	580.3	3965.1	double	2
2	Spectrogram 1	1	30.981805647	31.230952255	217.6	4037.7	double	2
3	Spectrogram 1	1	37.083081923	39.678359088	362.7	4352.0	double	8
4	Spectrogram 1	1	40.882241995	41.121007494	386.8	5053.1	double	2
5	Spectrogram 1	1	47.188382319	48.569069770	580.3	3795.9	wurp	7
6	Spectrogram 1	1	52.685121864	54.211144837	797.9	4013.5	wurp	8
7	Spectrogram 1	1	62.981553508	64.658102556	773.7	3989.3	wurp	9
8	Spectrogram 1	1	70.316343021	71.992892069	386.8	3191.4	wurp	8
9	Spectrogram 1	1	165.358093027	166.126295068	556.1	4497.0	double	4
10	Spectrogram 1	1	174.788621360	175.504917857	459.4	3481.6	double	4
11	Spectrogram 1	1	172.214757637	172.453523136	846.2	3505.8	double	2
12	Spectrogram 1	1	182.240955098	184.031696341	846.2	4376.2	wurp	9
13	Spectrogram 1	1	189.940921938	191.264513291	894.6	4134.4	wurp	7
14	Spectrogram 1	1	199.237415290	200.592149970	531.9	3844.2	wurp	7
15	Spectrogram 1	1	207.312615378	208.610253960	652.8	3215.6	wurp	7
16	Spectrogram 1	1	215.929146113	217.304643010	531.9	3554.1	wurp	7
17	Spectrogram 1	1	222.430095072	223.748495872	701.2	3675.0	wurp	7
18	Spectrogram 1	1	229.920601215	231.617912480	411.0	4424.5	wurp	9
19	Spectrogram 1	1	239.286410467	240.402379647	556.1	3239.8	wurp	6
20	Spectrogram 1	1	248.093153018	249.421934926	580.3	3626.6	wurp	7
21	Spectrogram 1	1	255.899363543	257.607055917	604.4	3457.4	wurp	9
22	Spectrogram 1	1	262.064765165	263.575216475	870.4	4231.1	wurp	8
23	Spectrogram 1	1	268.505266166	269.885953618	870.4	4617.9	wurp	7
24	Spectrogram 1	1	276.983490628	278.146174798	870.4	4134.4	wurp	6
25	Spectrogram 1	1	284.990294078	286.542269822	531.9	3360.7	wurp	8
26	Spectrogram 1	1	291.813976838	293.111615420	918.7	3288.2	wurp	7
27	Spectrogram 1	1	299.665982750	301.031098538	556.1	6600.5	wurp	6
28	Spectrogram 1	1	307.160760015	308.401302499	677.0	4472.9	wurp	7
29	Spectrogram 1	1	315.786158692	317.519803837	531.9	4642.1	wurp	9
30	Spectrogram 1	1	322.544796674	323.873578582	435.2	4303.6	wurp	6
31	Spectrogram 1	1	329.522357200	330.980902966	580.3	4255.3	wurp	8
32	Spectrogram 1	1	341.060844495	342.545343033	483.6	4303.6	wurp	8
