"","Audio.code","DATE","TIME","WP","Treatment","Track","DIAH","DICDV","HD","VD","H.app.d","V.app.d","Other","double","quank","wurp","rapid","squeak","NA","season","tot.notes","tot.quanks"
"13","13_Nov_L1","11/18/22","10:19","13","Low",1,"Y","N",0,0,"19.4","0","",0,0,0,0,0,NA,2,0,0
"14","14_Nov_L1","11/18/22","11:24","14","Low",1,"Y","N",5.3,2.6,"9.1","0","",0,0,0,0,0,NA,2,0,0
"15","15_Nov_C1","11/22/22","11:42","15","Control",1,"Y","Y",18,9.4,"3.2","7","Bird was looking but did not stay looking long and continued to move farther away from us to go to a feeder that was nearby",0,0,0,0,0,NA,2,0,0
"16","16_Nov_H1","12/5/22","10:01","16","High",1,"Y","Y",4.7,6.4,"8.3","0.8","Both the male and female flew in and female flew out then back in and stayed until the end of recording and stayed at the same vicinity the whole time",0,2,0,0,0,NA,2,2,2
"17","17_Nov_H3","12/5/22","10:25","17","High",3,"Y","N",12.8,9.4,"4.4","0","Original individual was looking and remained in the area for a few minutes. Bill wiped two times and was looking at me.mate was also in the area. May not have approached because there was a pair behind us. Seemed to be a territory border.",0,64,141,0,0,NA,2,205,64
"18","18_Nov_H1","12/5/22","11:03","18","High",1,"N","N",14,11,"0","0","Response was immediate and it was looking at us for a while but it did not approach and flew back. Maybe on a territory again",1,56,0,0,4,NA,2,61,57
"19","19_Nov_C3","12/5/22","11:22","19","Control",3,"N","N",12.6,4.8,"0","0","Looked initially but was foraging the whole time",14.5,16,0,0,0,NA,2,30.5,30.5
"20","01_feb_H1","1/30/22","10:29","1446","High",1,"Y","Y",17,4,"n/a","n/a","Looked at camera and mate approached",NA,NA,NA,NA,NA,NA,1,NA,NA
"21","02_feb_L1","1/30/22","11:00","1445","Low",1,"Y","Y",15,5.5,"n/a","n/a","went back to fooraging quickly and partner didn’t approach",NA,NA,NA,NA,NA,NA,1,NA,NA
"22","03_feb_C1","1/30/22","11:35","1447","Control",1,"N","N",60,35,"n/a","n/a","flew above speaker but was foraging the whole time",NA,NA,NA,NA,NA,NA,1,NA,NA
"23","04_feb_L3","2/1/22","9:38","around the back loop of wilderness (right at the start of loop)","Low",3,"Y","Y",3.81,6.8,"n/a","n/a","",NA,NA,NA,NA,NA,NA,1,NA,NA
"24","05_feb_C2","2/7/22","12:02","1454","Control",2,"Y","Y",8.8,6.2,"n/a","n/a","",NA,NA,NA,NA,NA,NA,1,NA,NA
"25","06_feb_C2","2/7/22","11:43","around the back loop of wilderness (closest to river)","Control",2,"Y","N",7.8,14.2,"n/a","n/a","",NA,NA,NA,NA,NA,NA,1,NA,NA
"26","07_feb_H1","2/16/22","11:40","1458","High",1,"Y","Y",0,3.6,"n/a","n/a","One stayed vigilant for most of the time and the other started foraging again about halfway through",0,0,0,0,0,NA,1,0,0
"27","08_feb_L1","2/16/22","11:57","Right after red bridge (north end of wilderness)","Low",1,"Y","N",6.8,11,"n/a","n/a","Didn’t stay vigilant the whole time but it did approach and was quark calling the whole time",0,1,89,52,0,NA,1,142,53
"28","09_feb_L1","2/19/22","10:38","1459","Low",1,"Y","Y",0.394,9.8,"n/a","n/a","",0,0,0,0,0,NA,1,0,0
