Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call	note number
46	Spectrogram 1	1	252.575654267	252.766864361	651.9	3712.8	quank	1
47	Spectrogram 1	1	257.664849175	257.813568137	793.6	3429.4	quank	1
49	Spectrogram 1	1	276.142669979	276.392305380	538.5	3259.3	quank	1
52	Spectrogram 1	1	292.423789299	292.583131045	850.3	2975.9	quank	1
54	Spectrogram 1	1	296.388243148	296.574141851	963.6	3231.0	quank	1
58	Spectrogram 1	1	323.033651335	323.192993081	736.9	3542.7	squeak	1
5	Spectrogram 1	1	42.286555288	44.512028334	592.1	5470.2	double	10
19	Spectrogram 1	1	79.923328997	81.256488268	761.3	5442.0	rapid	10
8	Spectrogram 1	1	50.307912418	52.512139897	845.9	4934.5	double	12
20	Spectrogram 1	1	81.557963469	84.457983237	845.9	5188.2	double	12
6	Spectrogram 1	1	46.235682519	47.685692403	648.5	5611.2	rapid	13
31	Spectrogram 1	1	135.057198607	137.187066605	623.5	4619.7	rapid	16
15	Spectrogram 1	1	69.650882875	72.375626723	1071.5	5780.4	rapid	18
7	Spectrogram 1	1	48.057489810	48.243388513	648.5	5357.4	double	2
22	Spectrogram 1	1	86.052615806	86.270382859	789.5	4821.7	double	2
34	Spectrogram 1	1	156.766834856	156.926176602	651.9	4534.7	double	2
36	Spectrogram 1	1	161.840095416	162.015371336	623.5	4137.9	double	2
37	Spectrogram 1	1	163.497857127	164.082110193	481.8	3939.5	double	2
40	Spectrogram 1	1	177.040513724	177.215789644	651.9	5611.7	double	2
42	Spectrogram 1	1	180.897191522	181.099024400	906.9	4591.4	double	2
44	Spectrogram 1	1	193.566898412	193.784665464	821.9	4336.3	double	2
45	Spectrogram 1	1	201.265534948	201.440810868	566.8	4336.3	double	2
53	Spectrogram 1	1	294.268997933	295.288785104	396.8	3514.4	quank	2
57	Spectrogram 1	1	312.337567312	312.629693845	1303.7	3486.1	double	2
60	Spectrogram 1	1	344.678610398	344.880443276	680.2	3826.2	double	2
14	Spectrogram 1	1	63.601874389	68.854840599	648.5	5498.4	double	20
1	Spectrogram 1	1	30.325419421	32.540269684	676.7	5019.1	rapid	29
51	Spectrogram 1	1	290.500791292	291.196583581	992.0	3316.0	quank	3
3	Spectrogram 1	1	39.007270946	39.522475923	676.7	5554.8	double	4
9	Spectrogram 1	1	54.447309020	54.983759563	620.3	5160.0	double	4
28	Spectrogram 1	1	121.913837209	122.630875064	651.9	4421.3	double	4
29	Spectrogram 1	1	126.224139064	126.888063003	368.4	3797.8	double	4
32	Spectrogram 1	1	139.087878383	140.187336427	708.5	3911.2	double	4
38	Spectrogram 1	1	165.164359947	166.083230680	481.8	4506.4	double	4
39	Spectrogram 1	1	170.071419324	170.804391353	1133.7	5866.8	double	4
48	Spectrogram 1	1	272.151659347	273.192692084	510.2	3684.4	quank	4
55	Spectrogram 1	1	300.642608578	301.588036268	651.9	3571.1	double	4
56	Spectrogram 1	1	305.937399361	307.116528278	878.6	3882.8	double	4
24	Spectrogram 1	1	89.870839749	101.393678125	651.9	4959.8	double	42
16	Spectrogram 1	1	73.935901539	74.467040691	761.3	5639.4	rapid	5
10	Spectrogram 1	1	55.116544351	55.727354375	563.9	5103.6	rapid	6
11	Spectrogram 1	1	58.201796438	59.529644317	704.9	4962.7	double	6
13	Spectrogram 1	1	62.698937831	63.325682030	817.7	5301.0	rapid	6
23	Spectrogram 1	1	88.816695172	89.539044418	592.1	5272.8	rapid	6
30	Spectrogram 1	1	127.966275481	128.885146213	453.5	3542.7	double	6
33	Spectrogram 1	1	142.325612256	143.308219687	878.6	4194.6	double	6
41	Spectrogram 1	1	178.576113429	179.542786685	510.2	5016.5	double	6
43	Spectrogram 1	1	185.605514635	186.758086594	481.8	4194.6	double	6
59	Spectrogram 1	1	334.583928731	335.874596869	793.6	3769.5	double	6
2	Spectrogram 1	1	35.077507608	36.400044095	986.9	5921.4	double	8
4	Spectrogram 1	1	39.734931583	40.542263094	535.7	5131.8	rapid	8
12	Spectrogram 1	1	60.555350437	62.318732420	874.1	5272.8	double	8
17	Spectrogram 1	1	74.679496352	76.432255552	817.7	5470.2	double	8
18	Spectrogram 1	1	77.888458663	78.940114183	930.5	5470.2	rapid	8
27	Spectrogram 1	1	117.509478528	118.656739095	595.2	4081.2	double	8
35	Spectrogram 1	1	159.366261085	160.667552006	340.1	4421.3	double	8
50	Spectrogram 1	1	281.524598630	283.702269152	396.8	3401.0	double	8
21	Spectrogram 1	1	84.724767927	85.792357622	563.9	5272.8	rapid	9
61	Spectrogram 1	1	348.104732204	348.768656144	510.2	3826.2	quank	2
