Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call	note number
1	Spectrogram 1	1	22.274210511	22.379708886	799.6	5706.1	squeak	1
2	Spectrogram 1	1	25.354763049	25.444436667	945.0	6251.2	squeak	1
3	Spectrogram 1	1	35.401497802	35.496446339	763.2	6105.8	squeak	1
4	Spectrogram 1	1	55.471726488	55.556125188	981.3	5996.8	squeak	1
5	Spectrogram 1	1	58.277652261	58.346226205	508.8	5015.5	squeak	1
6	Spectrogram 1	1	65.478461116	65.557584897	472.5	5742.4	squeak	
7	Spectrogram 1	1	71.856713639	72.051885632	763.2	5415.3	quank	1
8	Spectrogram 1	1	74.728410401	74.849733532	690.5	5706.1	squeak	1
9	Spectrogram 1	1	78.709377857	79.864585059	763.2	5451.6	squeak	3
10	Spectrogram 1	1	80.397351851	80.529224819	835.9	5597.0	quank	1
11	Spectrogram 1	1	83.532463731	83.601037675	581.5	5306.3	squeak	1
12	Spectrogram 1	1	85.637759689	85.743258064	545.2	5015.5	squeak	1
13	Spectrogram 1	1	86.850990997	86.924839859	508.8	5051.9	squeak	1
14	Spectrogram 1	1	92.725323459	92.788622484	726.9	5415.3	squeak	1
15	Spectrogram 1	1	95.688231601	95.735705869	799.6	6178.5	squeak	1
16	Spectrogram 1	1	100.060477418	100.735667016	763.2	5560.7	quank	3
17	Spectrogram 1	1	106.053660874	106.855448521	726.9	5342.6	quank	3
18	Spectrogram 1	1	111.512208960	114.413414261	835.9	5560.7	squeak	6
19	Spectrogram 1	1	119.478815406	119.568489024	690.5	5415.3	squeak	1
20	Spectrogram 1	1	125.325838899	125.399687761	981.3	6360.3	squeak	1
21	Spectrogram 1	1	127.335582934	127.414706715	763.2	6396.6	squeak	1
22	Spectrogram 1	1	130.626470240	130.716143858	617.9	7159.8	squeak	1
23	Spectrogram 1	1	133.150956742	133.219530685	799.6	7123.5	squeak	1
24	Spectrogram 1	1	138.952374545	139.928234510	654.2	6396.6	squeak	2
25	Spectrogram 1	1	141.431255357	141.499829300	1017.6	6505.6	squeak	1
26	Spectrogram 1	1	143.615344105	143.668093293	945.0	6251.2	squeak	1
27	Spectrogram 1	1	145.640912897	145.714761760	726.9	6069.5	squeak	1
28	Spectrogram 1	1	148.071988623	148.156387323	835.9	6578.3	squeak	1
29	Spectrogram 1	1	152.922383294	152.990957237	690.5	6505.6	squeak	1
30	Spectrogram 1	1	154.684206149	154.758055011	690.5	6578.3	squeak	1
31	Spectrogram 1	1	157.727172447	157.822120984	763.2	5960.5	squeak	1
32	Spectrogram 1	1	159.928954531	161.063062058	981.3	5706.1	squeak	2
33	Spectrogram 1	1	164.517472017	164.575496123	1381.1	5924.1	squeak	1
34	Spectrogram 1	1	165.651579543	165.714878568	945.0	6214.9	squeak	1
35	Spectrogram 1	1	168.010674986	168.110898442	835.9	6105.8	squeak	1
36	Spectrogram 1	1	169.654250060	172.165111375	726.9	6214.9	squeak	6
37	Spectrogram 1	1	173.623129918	174.282494759	654.2	5524.3	squeak	2
38	Spectrogram 1	1	177.982957147	178.077905684	835.9	6069.5	squeak	1
39	Spectrogram 1	1	181.787380321	181.882328858	690.5	6469.3	squeak	1
40	Spectrogram 1	1	183.337875436	183.443373811	981.3	6360.3	squeak	1
41	Spectrogram 1	1	187.909633790	188.009857246	1054.0	6542.0	squeak	1
42	Spectrogram 1	1	189.883056780	189.956905642	1308.4	6723.7	squeak	1
43	Spectrogram 1	1	199.733081607	201.410505763	872.3	4252.3	quank	7
44	Spectrogram 1	1	205.200972759	205.274821622	581.5	5051.9	squeak	1
45	Spectrogram 1	1	208.151462485	208.246411022	726.9	6360.3	squeak	1
46	Spectrogram 1	1	226.741638577	226.804937602	327.1	5960.5	squeak	1
47	Spectrogram 1	1	238.841854304	238.947352679	436.1	6469.3	squeak	1
48	Spectrogram 1	1	245.751939416	245.841613034	581.5	6069.5	squeak	1
49	Spectrogram 1	1	263.464610420	264.672566809	690.5	5524.3	wurp	8
50	Spectrogram 1	1	270.989388887	271.084337424	654.2	5451.6	squeak	1
51	Spectrogram 1	1	274.593968534	274.673092315	1272.1	5887.8	squeak	1
52	Spectrogram 1	1	276.297767284	276.382165983	1126.7	6033.2	squeak	1
53	Spectrogram 1	1	278.192669878	279.337327242	508.8	5960.5	squeak	3
54	Spectrogram 1	1	280.616932924	280.759355730	617.9	4615.7	quank	1
55	Spectrogram 1	1	282.727503628	282.801352490	545.2	5488.0	squeak	1
56	Spectrogram 1	1	286.569785404	286.659459023	581.5	5887.8	squeak	1
57	Spectrogram 1	1	298.775830497	298.891878709	654.2	4215.9	squeak	1
59	Spectrogram 1	1	300.698976264	300.767550207	363.4	3743.5	squeak	1
60	Spectrogram 1	1	305.603054152	305.682177933	981.3	4688.4	squeak	1
61	Spectrogram 1	1	310.428611990	311.531070005	617.9	5088.2	squeak	2
62	Spectrogram 1	1	312.633528019	312.686277206	726.9	4761.1	squeak	1
63	Spectrogram 1	1	322.704768615	322.863016176	690.5	3561.7	quank	1
64	Spectrogram 1	1	325.700922452	325.832795421	545.2	3634.4	quank	1
65	Spectrogram 1	1	333.059648051	333.217895613	654.2	4143.3	quank	1
66	Spectrogram 1	1	338.119170892	338.810185245	436.1	4797.4	squeak	3
