Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call	note number
1	Spectrogram 1	1	64.938637105	66.577183099	730.4	4040.2	wurp	12
2	Spectrogram 1	1	91.831881942	93.572200979	753.3	4747.8	wurp	13
3	Spectrogram 1	1	99.907197249	101.652604938	616.3	5432.6	wurp	13
4	Spectrogram 1	1	107.810981843	109.261247707	662.0	4382.6	wurp	11
5	Spectrogram 1	1	117.185386909	118.401574774	776.1	4451.1	wurp	9
6	Spectrogram 1	1	126.152699803	127.129721017	1118.5	3812.0	wurp	7
7	Spectrogram 1	1	133.842761006	135.455863739	1050.0	3675.0	wurp	12
8	Spectrogram 1	1	141.333782696	143.089367690	1187.0	4405.4	wurp	13
9	Spectrogram 1	1	149.637185969	151.504721309	1323.9	3903.3	wurp	14
10	Spectrogram 1	1	159.903588622	161.572666529	913.0	4565.2	wurp	12
11	Spectrogram 1	1	168.419813904	170.149955636	844.6	4063.0	wurp	13
12	Spectrogram 1	1	177.675377374	179.441139672	1050.0	3948.9	wurp	13
13	Spectrogram 1	1	186.377178808	187.852887933	821.7	3834.8	wurp	11
14	Spectrogram 1	1	194.573720552	196.349660154	684.8	3834.8	wurp	13
15	Spectrogram 1	1	204.427040999	206.116473515	730.4	3971.7	wurp	13
16	Spectrogram 1	1	213.106103317	215.009259222	546.7	3895.2	wurp	14
