Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call	note number
1	Spectrogram 1	1	176.514296582	176.609053071	382.4	3356.4	squeak	1
2	Spectrogram 1	1	177.032963677	177.212502287	509.8	2910.3	double	2
3	Spectrogram 1	1	178.609484169	179.437356648	403.6	2846.5	double	4
4	Spectrogram 1	1	187.868236205	188.556467542	318.6	2506.6	double	4
5	Spectrogram 1	1	194.109484785	194.952318814	361.1	3122.7	double	4
6	Spectrogram 1	1	196.129294146	196.323794306	297.4	2974.0	double	2
7	Spectrogram 1	1	198.321262409	199.258852927	446.1	3101.4	double	4
8	Spectrogram 1	1	207.272576040	207.462089017	339.9	3228.9	double	2
9	Spectrogram 1	1	208.978192833	209.531770213	552.3	3547.5	double	4
10	Spectrogram 1	1	210.622767407	211.575319475	488.6	3420.1	double	4
11	Spectrogram 1	1	214.711632256	214.906132417	467.3	2974.0	double	2
12	Spectrogram 1	1	217.252132900	217.451620245	509.8	3462.6	double	2
13	Spectrogram 1	1	222.018371313	222.192922739	573.6	2952.7	double	2
14	Spectrogram 1	1	224.936131259	226.327555486	382.4	3313.9	double	6
15	Spectrogram 1	1	229.731409366	231.033064287	446.1	3016.5	double	6
16	Spectrogram 1	1	231.880885501	232.080372845	467.3	3377.6	double	2
17	Spectrogram 1	1	235.026288099	235.692805192	552.3	3207.7	double	4
18	Spectrogram 1	1	156.967977340	157.137541583	531.1	3207.7	double	2
19	Spectrogram 1	1	173.961482815	174.150995792	276.2	2995.2	double	2
22	Spectrogram 1	1	237.271661666	237.446213092	339.9	2952.7	double	2
23	Spectrogram 1	1	243.282616392	243.472129369	361.1	3165.2	double	2
24	Spectrogram 1	1	266.919879093	266.999674030	531.1	4779.6	squeak	1
25	Spectrogram 1	1	267.975965674	269.182864107	573.6	3186.4	quank	3
