Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call	note number
1	Spectrogram 1	1	21.056721143	21.269098847	615.6	3777.6	quank	1
2	Spectrogram 1	1	25.144198708	26.560050065	699.6	3273.9	quank	9
4	Spectrogram 1	1	32.932799123	33.114837155	979.4	3581.7	quank	1
5	Spectrogram 1	1	103.888241929	104.055110124	503.7	3525.8	quank	1
6	Spectrogram 1	1	109.918932783	110.879689061	615.6	3385.9	quank	2
7	Spectrogram 1	1	113.568593643	113.634329598	699.6	4589.1	squeak	1
8	Spectrogram 1	1	115.286628722	115.448440305	447.7	3777.6	quank	1
9	Spectrogram 1	1	118.818774673	119.855380131	391.8	4533.1	squeak	2
12	Spectrogram 1	1	132.154104996	132.209727728	363.8	4701.0	squeak	1
13	Spectrogram 1	1	165.528303483	165.806417142	531.7	4868.9	squeak	2
14	Spectrogram 1	1	172.312429358	172.362995478	1203.2	5848.3	squeak	1
15	Spectrogram 1	1	176.938277453	177.545070892	1399.1	5260.7	squeak	2
16	Spectrogram 1	1	179.128051567	179.193787523	475.7	4729.0	squeak	1
17	Spectrogram 1	1	190.144244387	190.230206791	475.7	4617.1	squeak	1
18	Spectrogram 1	1	257.734091979	258.502697002	671.6	3078.0	quank	2
19	Spectrogram 1	1	281.481191824	281.567154227	643.6	4365.2	squeak	1
