Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call
1	Spectrogram 1	1	25.139825680	55.184869699	931.7	5057.9	Playback
2	Spectrogram 1	1	164.813138504	164.887576520	600.1	4767.8	WBNU-squeak
3	Spectrogram 1	1	167.414880868	167.498623636	466.8	5134.5	WBNU-squeak
4	Spectrogram 1	1	176.018960808	176.074789319	466.8	4567.7	WBNU-squeak
5	Spectrogram 1	1	182.401677185	182.462158072	533.5	5701.3	WBNU-squeak
6	Spectrogram 1	1	186.150908515	186.216041779	466.8	5734.6	WBNU-squeak
7	Spectrogram 1	1	196.406290150	196.462118661	600.1	4501.0	WBNU-squeak
8	Spectrogram 1	1	198.852856208	198.913337096	600.1	4567.7	WBNU-squeak
9	Spectrogram 1	1	217.633759717	217.703545357	533.5	8802.0	WBNU-squeak
10	Spectrogram 1	1	231.737428853	231.816519244	766.8	4067.6	WBNU-squeak
11	Spectrogram 1	1	233.760920473	233.835358488	633.5	4601.1	WBNU-squeak
12	Spectrogram 1	1	234.905404962	234.975190601	433.4	5067.8	WBNU-squeak
13	Spectrogram 1	1	238.073621470	238.134102358	433.4	4734.4	WBNU-squeak
14	Spectrogram 1	1	247.155248084	248.196556200	466.8	6334.8	WBNU-squeak
15	Spectrogram 1	1	249.558320327	249.618801215	466.8	5934.7	WBNU-squeak
16	Spectrogram 1	1	252.190981425	252.265419440	466.8	5968.0	WBNU-squeak
17	Spectrogram 1	1	253.968189046	254.024017557	500.1	5934.7	WBNU-squeak
18	Spectrogram 1	1	255.616143034	255.676623922	533.5	5067.8	WBNU-squeak
19	Spectrogram 1	1	256.979289194	257.035117706	566.8	6101.4	WBNU-squeak
20	Spectrogram 1	1	267.607925254	267.677710894	1033.6	7368.4	wbnu-squeak
21	Spectrogram 1	1	269.226952092	269.301390108	433.4	7901.8	WBNU-squeak
22	Spectrogram 1	1	270.614716255	270.689154270	533.5	8401.9	WBNU-squeak
23	Spectrogram 1	1	273.655962336	273.721095600	333.4	7301.7	WBNU-squeak
