Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	CALL
1	Spectrogram 1	1	11.556170037	45.452982008	288.9	5741.1	Playback
2	Spectrogram 1	1	74.576917532	74.682410510	252.8	4116.3	WBNU
3	Spectrogram 1	1	76.053518342	77.597551933	252.8	5127.3	WBNU
4	Spectrogram 1	1	80.654547912	85.133204353	649.9	4585.7	WBNU
5	Spectrogram 1	1	87.202402355	90.707646314	505.5	5091.2	WBNU
6	Spectrogram 1	1	92.841428447	98.021271661	361.1	5163.4	WBNU
7	Spectrogram 1	1	99.484035570	103.142723862	469.4	4838.4	WBNU
8	Spectrogram 1	1	105.054531816	117.334873513	433.3	4874.5	WBNU
9	Spectrogram 1	1	119.247831725	122.956417611	252.8	5416.1	WBNU
10	Spectrogram 1	1	126.107918561	126.223001810	433.3	4332.9	WBNU
11	Spectrogram 1	1	128.279513273	130.010557144	288.9	4405.1	WBNU
12	Spectrogram 1	1	131.237810915	133.817593747	288.9	4585.7	WBNU
13	Spectrogram 1	1	134.853590451	134.973468835	541.6	4044.0	WBNU
14	Spectrogram 1	1	136.937474833	137.057353217	397.2	4080.2	WBNU
15	Spectrogram 1	1	138.561875451	139.583239286	288.9	4477.3	WBNU
16	Spectrogram 1	1	141.262633676	147.366841009	433.3	4116.3	WBNU
17	Spectrogram 1	1	148.837797219	155.124219697	397.2	4007.9	WBNU
18	Spectrogram 1	1	158.637302034	162.032257880	397.2	4224.6	WBNU
19	Spectrogram 1	1	165.996932291	166.687431786	325.0	4441.2	WBNU
20	Spectrogram 1	1	168.149647033	170.416595792	325.0	4332.9	WBNU
21	Spectrogram 1	1	172.008580737	172.464118597	288.9	4369.0	WBNU
22	Spectrogram 1	1	175.463272224	179.414463773	361.1	4694.0	WBNU
23	Spectrogram 1	1	180.974528282	186.551270724	505.5	4441.2	WBNU
24	Spectrogram 1	1	187.999401608	188.143255669	361.1	4080.2	WBNU
25	Spectrogram 1	1	192.173363323	193.722192049	433.3	4513.4	WBNU
26	Spectrogram 1	1	196.871693493	199.686437959	469.4	4296.8	WBNU
27	Spectrogram 1	1	200.816090401	200.950354192	541.6	4007.9	WBNU
28	Spectrogram 1	1	203.367350040	204.546953343	433.3	4477.3	WBNU
29	Spectrogram 1	1	207.090869836	210.639270014	541.6	4260.7	WBNU
30	Spectrogram 1	1	215.470713701	216.079695894	397.2	4260.7	WBNU
31	Spectrogram 1	1	223.302213669	223.465248271	397.2	4766.2	WBNU
32	Spectrogram 1	1	225.557873535	226.473744392	433.3	4657.9	WBNU
33	Spectrogram 1	1	227.780816844	232.825546878	722.2	4838.4	WBNU
34	Spectrogram 1	1	239.647821291	239.806060759	541.6	4152.4	WBNU
35	Spectrogram 1	1	244.357440354	244.472523603	649.9	3971.8	WBNU
36	Spectrogram 1	1	291.790441666	292.600819545	577.7	3683.0	WBNU
