Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call
1	Spectrogram 1	1	28.893276936	58.939547677	632.2	4292.6	Playback
2	Spectrogram 1	1	58.968353947	62.871188839	467.7	4209.2	WBNU-quank
3	Spectrogram 1	1	65.279061300	66.844679258	601.3	4476.5	WBNU-quank
4	Spectrogram 1	1	70.068493163	70.765785195	601.3	4443.1	WBNU-quank
5	Spectrogram 1	1	72.193260392	73.505126442	400.9	4443.1	WBNU-quank
6	Spectrogram 1	1	77.945059806	81.069717496	567.9	3942.0	WBNU-trill
7	Spectrogram 1	1	82.856309529	84.027233884	668.1	4008.8	WBNU-trill
8	Spectrogram 1	1	85.662285525	88.902182848	567.9	4342.9	WBNU-quank
9	Spectrogram 1	1	90.072496204	90.855305183	467.7	3774.9	WBNU-trill
10	Spectrogram 1	1	93.626926455	93.824273257	501.1	4109.0	WBNU-quank
11	Spectrogram 1	1	98.150672107	98.387488269	300.7	3708.1	WBNU-trill
12	Spectrogram 1	1	100.532231662	100.755891370	400.9	3774.9	WBNU-trill
13	Spectrogram 1	1	104.037204656	121.838603401	467.7	4109.0	WBNU-trill
14	Spectrogram 1	1	123.260594339	124.536770321	501.1	3474.3	WBNU-trill
15	Spectrogram 1	1	125.605241982	129.381144117	400.9	3975.4	WBNU-trill
16	Spectrogram 1	1	134.546870660	135.934876497	634.7	3307.3	WBNU-trill
17	Spectrogram 1	1	138.137971294	138.387943909	367.5	2873.0	WBNU-trill
18	Spectrogram 1	1	140.307322628	140.945410619	501.1	3507.7	WBNU-trill
19	Spectrogram 1	1	142.388841203	143.125602595	267.3	3407.5	WBNU-trill
20	Spectrogram 1	1	148.312285357	148.930638668	334.1	4042.2	WBNU-trill
21	Spectrogram 1	1	150.275395697	154.763451283	968.8	3942.0	WBNU-trill
